Age,,Height (cm),Weight (kg),,Workout Duration (mins),,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%)
39,,175,99,,79,,112,8850,14.44,High,8.2,1.9,3195,61,38.4,28.5
36,,157,112,,73,,168,2821,1.1,High,8.6,1.9,2541,73,38.4,28.5
25,,180,66,,27,,133,18898,7.28,High,9.8,1.9,3362,80,38.4,28.5
56,,154,89,,39,,118,14102,6.55,Medium,5.8,1.9,2071,65,38.4,28.5
53,,194,59,,56,,170,16518,3.17,Medium,7.3,1.9,3298,59,38.4,28.5
33,,162,81,,11,,142,10895,6.53,Low,4.2,1.9,2401,69,38.4,28.5
48,,151,82,,109,,114,4687,6.47,Low,4.3,1.9,2310,72,38.4,28.5
59,,189,61,,83,,159,11234,7.64,Medium,8.8,1.9,2654,62,38.4,28.5
37,,182,113,,25,,123,9372,13.24,Low,4.1,1.9,3760,53,38.4,28.5
45,,198,74,,60,,171,19073,8.52,High,5.6,1.9,1908,53,38.4,28.5
28,,167,84,,31,,147,3478,13.49,Low,6.3,1.9,1893,51,38.4,28.5
46,,185,112,,111,,85,17568,10.9,Low,6.2,1.9,2184,57,38.4,28.5
38,,178,71,,83,,98,8098,11.26,High,8.5,1.9,2253,68,38.4,28.5
18,,174,99,,60,,96,3597,1.54,Low,7.1,1.9,2238,74,38.4,28.5
38,,179,75,,50,,85,9695,1.92,High,7.3,1.9,1759,81,38.4,28.5
34,,196,107,,18,,87,10346,2.14,Medium,9.3,1.9,3569,88,38.4,28.5
26,,185,74,,30,,92,16563,4.09,Low,8.2,1.9,3241,60,38.4,28.5
19,,187,96,,94,,100,1056,11.73,High,4.4,1.9,2943,80,38.4,28.5
20,,178,52,,52,,120,12065,7.99,Medium,6.7,1.9,1713,82,38.4,28.5
44,,189,62,,51,,148,13797,12.82,High,6.1,1.9,2541,68,38.4,28.5
38,,177,54,,19,,91,14796,13.61,High,7.5,1.9,1825,54,38.4,28.5
24,,179,90,,35,,132,19502,14.6,High,7.4,1.9,2285,68,38.4,28.5
56,,159,107,,60,,174,5310,10.61,Medium,9.8,1.9,2600,53,38.4,28.5
58,,199,78,,52,,142,2065,4.74,Medium,4.1,1.9,1664,89,38.4,28.5
21,,157,82,,14,,175,19656,11.47,Medium,5.6,1.9,3693,51,38.4,28.5
43,,186,59,,90,,157,18426,9.61,High,6.7,1.9,3150,79,38.4,28.5
28,,151,110,,61,,112,8924,3.53,Low,4.3,1.9,2439,59,38.4,28.5
54,,198,69,,76,,108,17737,10.96,Low,5.3,1.9,3829,58,38.4,28.5
40,,159,99,,87,,169,8048,14.14,Low,6.9,1.9,2388,63,38.4,28.5
35,,188,79,,101,,106,3022,10.91,Low,6,1.9,1577,63,38.4,28.5
26,,168,86,,112,,115,17512,5.42,Low,6.1,1.9,3029,77,38.4,28.5
19,,160,92,,83,,85,13746,0.64,High,5,1.9,2499,75,38.4,28.5
28,,157,79,,31,,92,5434,2.21,Low,5.1,1.9,1813,52,38.4,28.5
39,,182,51,,37,,127,5364,6.62,Medium,9,1.9,3481,57,38.4,28.5
24,,166,51,,16,,127,9209,11.32,Medium,5.7,1.9,3425,81,38.4,28.5
21,,193,73,,27,,173,5260,3.81,Medium,5.1,1.9,3934,67,38.4,28.5
55,,170,80,,63,,87,2483,6.72,High,5.6,1.9,3289,52,38.4,28.5
42,,174,55,,67,,89,6613,3.51,Medium,8.8,1.9,2380,56,38.4,28.5
48,,156,71,,15,,109,8357,1.83,High,8.8,1.9,3350,62,38.4,28.5
29,,192,107,,43,,88,15851,11.94,Medium,8.9,1.9,2353,65,38.4,28.5
54,,197,89,,108,,134,10133,5.13,High,5,1.9,3849,82,38.4,28.5
42,,179,63,,101,,128,12079,14.48,High,5.6,1.9,2626,85,38.4,28.5
41,,176,75,,108,,173,19400,6.89,Low,6.2,1.9,3181,81,38.4,28.5
20,,158,58,,48,,112,12503,6.7,High,7.5,1.9,2156,62,38.4,28.5
20,,180,95,,86,,155,7163,12.15,Low,4.6,1.9,2047,61,38.4,28.5
44,,167,113,,118,,131,6906,1.63,Medium,7.3,1.9,3597,63,38.4,28.5
56,,187,87,,80,,124,3864,6.06,High,9.8,1.9,1592,54,38.4,28.5
36,,170,83,,77,,144,5052,1.45,Low,6.1,1.9,3695,67,38.4,28.5
49,,195,79,,103,,144,11778,0.54,Low,9.9,1.9,3600,78,38.4,28.5
27,,198,97,,115,,108,14812,13.48,High,9.4,1.9,2834,83,38.4,28.5
22,,164,62,,45,,145,7504,12.91,Medium,4.8,1.9,1583,60,38.4,28.5
47,,193,57,,95,,157,9861,6.8,Medium,7.8,1.9,2154,75,38.4,28.5
52,,194,66,,118,,106,10944,8.22,Medium,5.3,1.9,2745,69,38.4,28.5
19,,162,65,,77,,91,19207,3.67,Medium,6.2,1.9,2904,86,38.4,28.5
48,,164,57,,100,,115,7042,6.11,Medium,6.8,1.9,1542,71,38.4,28.5
28,,189,75,,79,,97,17141,11.06,High,5.5,1.9,2783,88,38.4,28.5
32,,195,115,,12,,142,17869,13.25,Low,7.9,1.9,3528,64,38.4,28.5
39,,172,95,,91,,134,13146,8.84,Medium,7.6,1.9,3686,53,38.4,28.5
28,,165,50,,38,,132,9322,5.84,Low,5.7,1.9,2208,61,38.4,28.5
32,,190,71,,10,,136,2587,7.75,Low,5.8,1.9,3380,60,38.4,28.5
33,,165,67,,27,,152,16715,4.83,Low,9,1.9,1594,64,38.4,28.5
59,,158,91,,104,,160,16743,3.68,Low,6.6,1.9,2849,74,38.4,28.5
43,,183,57,,50,,138,2618,13.95,Medium,4.1,1.9,2786,85,38.4,28.5
57,,161,97,,98,,167,15113,5.48,Medium,9.6,1.9,1808,81,38.4,28.5
20,,165,87,,45,,121,11697,11.31,Medium,9,1.9,1677,64,38.4,28.5
47,,189,102,,39,,170,15095,6.55,High,4.5,1.9,3224,63,38.4,28.5
51,,158,68,,39,,111,3838,10.52,High,4.3,1.9,2306,87,38.4,28.5
23,,188,78,,87,,147,14669,13.24,Medium,9,1.9,3489,63,38.4,28.5
25,,160,77,,24,,165,14355,14.91,Low,5.2,1.9,1941,84,38.4,28.5
25,,165,60,,53,,93,15296,7.68,High,5.9,1.9,3684,55,38.4,28.5
53,,184,85,,28,,115,2265,1.19,Low,6.3,1.9,3678,72,38.4,28.5
49,,171,88,,114,,178,17220,11.4,Low,9.2,1.9,2255,65,38.4,28.5
53,,193,76,,36,,128,1988,12.36,Medium,6.1,1.9,2196,83,38.4,28.5
21,,199,97,,55,,113,18445,6.18,High,4.3,1.9,3656,71,38.4,28.5
34,,161,54,,32,,109,17911,3.28,Medium,6.1,1.9,1656,74,38.4,28.5
31,,151,110,,40,,109,5366,14.93,Low,9.7,1.9,3977,59,38.4,28.5
20,,165,100,,52,,112,4614,2.91,High,9.1,1.9,3871,51,38.4,28.5
58,,156,74,,95,,179,14037,8.68,Low,8,1.9,3184,83,38.4,28.5
38,,181,101,,91,,119,5178,12.78,Low,8.9,1.9,2171,76,38.4,28.5
21,,195,83,,54,,131,5308,3.56,High,4.6,1.9,1547,62,38.4,28.5
56,,199,93,,19,,170,18317,13.36,Low,4.5,1.9,1553,86,38.4,28.5
36,,160,117,,32,,152,16327,7.45,Medium,6.9,1.9,2785,64,38.4,28.5
59,,197,92,,22,,150,15125,14.26,High,9.6,1.9,3453,87,38.4,28.5
29,,190,93,,105,,172,14825,1.05,Medium,5.4,1.9,2264,86,38.4,28.5
34,,174,71,,117,,126,18867,7.08,Medium,4.4,1.9,3265,67,38.4,28.5
57,,179,62,,25,,103,15743,1.77,Low,8.6,1.9,2365,82,38.4,28.5
50,,194,57,,51,,96,13642,11.72,High,4.5,1.9,2866,84,38.4,28.5
56,,170,55,,57,,88,6310,4.57,Medium,7.3,1.9,3220,77,38.4,28.5
19,,181,118,,29,,99,5561,12.01,Low,7.4,1.9,3750,70,38.4,28.5
19,,172,75,,80,,90,19815,0.71,Low,5.2,1.9,3648,76,38.4,28.5
54,,174,60,,12,,87,2312,12.03,Medium,8.1,1.9,3738,77,38.4,28.5
36,,162,61,,74,,145,16019,3.33,Medium,4.7,1.9,2216,89,38.4,28.5
54,,178,56,,115,,163,12757,7.86,Low,4.9,1.9,3300,61,38.4,28.5
38,,189,82,,116,,95,13141,6.55,Low,5.6,1.9,2767,82,38.4,28.5
28,,167,54,,70,,116,2658,8.21,High,9,1.9,2811,78,38.4,28.5
47,,199,83,,92,,156,7092,2.47,Medium,7.2,1.9,2740,71,38.4,28.5
58,,183,92,,101,,97,5592,14.44,Low,8.2,1.9,3058,79,38.4,28.5
23,,182,53,,100,,168,14430,8.36,High,4.7,1.9,2356,57,38.4,28.5
59,,167,70,,107,,93,2451,3.76,Medium,7.7,1.9,2932,83,38.4,28.5
36,,151,83,,73,,104,17526,10.35,High,6.3,1.9,3050,54,38.4,28.5
37,,190,91,,60,,107,6390,12.23,High,7.6,1.9,1795,60,38.4,28.5
40,,191,118,,35,,136,18797,5.37,Low,7.8,1.9,3337,74,38.4,28.5
51,,154,67,,82,,106,8433,7.65,Low,8.5,1.9,2659,54,38.4,28.5
26,,154,107,,26,,97,2809,7.77,Low,4.4,1.9,3888,50,38.4,28.5
56,,189,104,,27,,177,14077,10.62,Low,6.9,1.9,3507,66,38.4,28.5
54,,171,106,,90,,140,4391,13.71,High,7.6,1.9,1612,89,38.4,28.5
50,,193,73,,93,,177,13007,3.5,Medium,5.3,1.9,2130,82,38.4,28.5
47,,157,81,,83,,102,1399,8.83,Low,9.7,1.9,3308,77,38.4,28.5
34,,192,89,,13,,127,1232,3.72,Low,7.1,1.9,3904,55,38.4,28.5
24,,169,110,,44,,128,10356,3.48,Medium,7.9,1.9,2552,65,38.4,28.5
58,,168,106,,48,,80,13213,5.95,Low,6.6,1.9,3248,54,38.4,28.5
22,,152,72,,62,,90,16226,10.39,Medium,5.5,1.9,3787,55,38.4,28.5
52,,199,52,,98,,90,17157,11.53,High,4.5,1.9,3425,64,38.4,28.5
49,,159,76,,74,,124,11222,12.18,Low,6.4,1.9,1755,50,38.4,28.5
39,,152,112,,35,,158,2472,9.82,Medium,9.7,1.9,2675,66,38.4,28.5
21,,170,87,,82,,81,1615,2.68,Medium,4.5,1.9,3320,56,38.4,28.5
38,,159,62,,64,,117,12733,13.34,Low,7.4,1.9,3448,61,38.4,28.5
40,,174,104,,82,,166,5132,5.28,High,8.1,1.9,3470,60,38.4,28.5
31,,187,111,,39,,80,10189,1.45,High,7.8,1.9,2860,56,38.4,28.5
38,,164,59,,55,,118,13938,11,Medium,4.5,1.9,2028,62,38.4,28.5
40,,191,100,,94,,155,19139,5.58,Medium,6.7,1.9,1690,87,38.4,28.5
45,,179,92,,81,,112,16139,3.3,Low,7.4,1.9,3102,84,38.4,28.5
22,,174,102,,119,,105,1360,3.28,Medium,5.2,1.9,3567,62,38.4,28.5
48,,175,88,,74,,94,18314,12.77,Medium,8.2,1.9,1623,85,38.4,28.5
35,,185,55,,96,,90,6433,2.07,Medium,8.3,1.9,2451,87,38.4,28.5
47,,174,97,,73,,155,15661,8.93,Medium,4.8,1.9,2713,66,38.4,28.5
52,,180,118,,18,,169,19928,8.96,Low,5.9,1.9,2531,73,38.4,28.5
23,,190,116,,82,,129,19121,9.4,Medium,7.5,1.9,3279,55,38.4,28.5
24,,160,87,,58,,155,12387,12.59,Medium,9.6,1.9,3284,64,38.4,28.5
51,,153,101,,114,,104,8906,14.32,Medium,5.9,1.9,3127,83,38.4,28.5
42,,191,92,,37,,85,5981,14.7,High,7.8,1.9,3780,75,38.4,28.5
21,,161,117,,59,,105,1843,9.13,Medium,8.8,1.9,2086,61,38.4,28.5
39,,157,64,,13,,134,18559,4.45,Low,5.3,1.9,1560,80,38.4,28.5
